Dates;PX_LAST;PX_BID;PX_ASK
19.12.2016;67,695;67,435;67,955
20.12.2016;66,512;66,253;66,772
21.12.2016;66,249;65,98;66,517
22.12.2016;66,113;65,835;66,392
23.12.2016;66,474;66,118;66,83
27.12.2016;66,753;66,487;67,019
28.12.2016;67,909;67,473;68,345
29.12.2016;68,109;67,75;68,467
30.12.2016;67,585;67,195;67,975
03.01.2017;65,669;65,398;65,94
04.01.2017;63,476;63,185;63,767
05.01.2017;63,743;63,48;64,005
06.01.2017;64,47;64,215;64,725
09.01.2017;65,451;65,24;65,662
10.01.2017;66,075;65,868;66,282
11.01.2017;65,942;65,698;66,187
12.01.2017;66,328;66,13;66,527
13.01.2017;65,82;65,558;66,082
17.01.2017;66,428;66,263;66,592
18.01.2017;65,719;65,503;65,935
19.01.2017;66,095;65,888;66,302
20.01.2017;65,879;65,643;66,115
23.01.2017;66,447;66,248;66,645
24.01.2017;65,415;65,195;65,635
25.01.2017;63,809;63,603;64,015
26.01.2017;63,988;63,745;64,23
27.01.2017;64,157;63,968;64,345
30.01.2017;65,788;65,565;66,012
31.01.2017;66,26;66,015;66,505
01.02.2017;65,83;65,608;66,052
02.02.2017;65,548;65,358;65,737
03.02.2017;63,605;63,375;63,835
06.02.2017;64,757;64,553;64,96
07.02.2017;65,54;65,328;65,752
08.02.2017;66,861;66,658;67,065
09.02.2017;64,712;64,54;64,883
10.02.2017;64,482;64,24;64,725
13.02.2017;63,268;63,085;63,45
14.02.2017;62,8;62,61;62,99
15.02.2017;62,979;62,77;63,187
16.02.2017;63,691;63,498;63,885
17.02.2017;63,517;63,328;63,705
21.02.2017;62,57;62,27;62,87
22.02.2017;62,583;62,353;62,812
23.02.2017;62,33;62,088;62,572
24.02.2017;62,558;62,323;62,792
27.02.2017;62,268;62,084;62,452
28.02.2017;62,577;62,353;62,802
01.03.2017;60,146;59,928;60,365
02.03.2017;60,373;60,158;60,587
03.03.2017;59,841;59,615;60,067
06.03.2017;60,6;60,355;60,845
07.03.2017;62,524;62,328;62,72
08.03.2017;63,894;63,663;64,125
09.03.2017;64,469;64,273;64,665
10.03.2017;64,547;64,334;64,759
13.03.2017;64,853;64,697;65,009
14.03.2017;65,803;65,568;66,037
15.03.2017;61,836;61,601;62,071
16.03.2017;61,895;61,628;62,162
17.03.2017;60,952;60,7;61,205
20.03.2017;68,385;68,165;68,605
21.03.2017;69,678;69,464;69,892
22.03.2017;68,342;68,043;68,642
23.03.2017;67,982;67,748;68,217
24.03.2017;67,014;66,748;67,28
27.03.2017;67,805;67,552;68,058
28.03.2017;67,18;66,958;67,402
29.03.2017;67,783;67,533;68,032
30.03.2017;66,813;66,588;67,037
31.03.2017;66,331;66,105;66,557
03.04.2017;66,702;66,485;66,92
04.04.2017;65,93;65,723;66,137
05.04.2017;65,897;65,655;66,14
06.04.2017;65,497;65,286;65,708
07.04.2017;65,447;65,272;65,622
10.04.2017;65,434;65,175;65,692
11.04.2017;66,385;66,178;66,592
12.04.2017;67,671;67,455;67,887
13.04.2017;67,915;67,58;68,25
17.04.2017;67,892;67,678;68,105
18.04.2017;68,794;68,55;69,037
19.04.2017;69,184;68,978;69,39
20.04.2017;67,497;67,263;67,732
21.04.2017;67,078;66,818;67,338
24.04.2017;64,238;64,038;64,437
25.04.2017;62,572;62,382;62,762
26.04.2017;63,361;63,138;63,585
27.04.2017;63,576;63,373;63,78
28.04.2017;63,978;63,738;64,217
01.05.2017;63,377;63,163;63,592
02.05.2017;62,882;62,633;63,132
03.05.2017;62,648;62,43;62,867
04.05.2017;63,253;63,04;63,465
05.05.2017;61,879;61,673;62,085
08.05.2017;62,316;62,095;62,537
09.05.2017;62,431;62,26;62,602
10.05.2017;61,62;61,39;61,85
11.05.2017;62,156;61,95;62,362
12.05.2017;62,618;62,41;62,827
15.05.2017;61,636;61,458;61,815
16.05.2017;61,693;61,498;61,887
17.05.2017;65,624;65,398;65,85
18.05.2017;64,541;64,345;64,737
19.05.2017;63,528;63,338;63,717
22.05.2017;62,2;61,985;62,415
23.05.2017;61,868;61,7;62,035
24.05.2017;61,893;61,723;62,062
25.05.2017;62,058;61,866;62,25
26.05.2017;62,2;61,99;62,41
30.05.2017;62,313;62,133;62,492
31.05.2017;61,585;61,393;61,777
01.06.2017;60,438;60,265;60,612
02.06.2017;59,826;59,655;59,997
